Date,Open,High,Low,Close,Volume,Adj Close
2015-12-09,1455.73999,1460.849976,1428.619995,1440.939941,000,1440.939941
2015-12-08,1494.060059,1494.060059,1450.439941,1454.98999,000,1454.98999
2015-12-07,1490.26001,1504.609985,1489.619995,1494.52002,000,1494.52002
2015-12-04,1501.97998,1501.97998,1475.790039,1485.319946,000,1485.319946
2015-12-03,1533.73999,1544.939941,1502.410034,1502.410034,000,1502.410034
2015-12-02,1530.609985,1539.540039,1521.640015,1533.869995,000,1533.869995
2015-12-01,1536.280029,1546.530029,1527.449951,1530.52002,000,1530.52002
2015-11-30,1521.900024,1542.119995,1515.329956,1536.050049,000,1536.050049
2015-11-27,1519.599976,1527.619995,1511.619995,1522.00,000,1522.00
2015-11-26,1505.390015,1524.619995,1502.300049,1522.280029,000,1522.280029
2015-11-25,1488.890015,1508.380005,1487.949951,1506.52002,000,1506.52002
2015-11-24,1515.800049,1515.800049,1486.73999,1488.890015,000,1488.890015
2015-11-23,1521.869995,1521.869995,1509.27002,1515.800049,000,1515.800049
2015-11-20,1512.77002,1525.47998,1505.939941,1521.869995,000,1521.869995
2015-11-19,1514.180054,1530.910034,1507.829956,1512.77002,000,1512.77002
2015-11-18,1513.930054,1515.209961,1504.380005,1514.180054,000,1514.180054
2015-11-17,1479.23999,1514.329956,1479.23999,1513.930054,000,1513.930054
2015-11-16,1476.209961,1485.680054,1458.52002,1479.040039,000,1479.040039
2015-11-13,1481.76001,1485.560059,1469.00,1476.209961,000,1476.209961
2015-11-12,1511.839966,1512.609985,1487.959961,1488.400024,000,1488.400024
2015-11-11,1504.439941,1518.300049,1503.160034,1511.459961,000,1511.459961
2015-11-10,1515.530029,1517.849976,1488.189941,1499.400024,000,1499.400024
2015-11-09,1530.359985,1537.25,1511.550049,1511.550049,000,1511.550049
2015-11-06,1523.560059,1536.579956,1516.540039,1526.48999,000,1526.48999
2015-11-05,1530.420044,1535.050049,1521.130005,1523.25,000,1523.25
2015-11-04,1513.52002,1533.949951,1512.890015,1529.430054,000,1529.430054
2015-11-03,1506.040039,1508.680054,1496.130005,1507.449951,000,1507.449951
2015-11-02,1487.469971,1509.699951,1480.290039,1502.439941,000,1502.439941
2015-10-30,1498.290039,1508.449951,1496.51001,1499.22998,000,1499.22998
2015-10-29,1505.97998,1505.97998,1484.180054,1495.859985,000,1495.859985
2015-10-28,1490.959961,1503.219971,1482.030029,1499.640015,000,1499.640015
2015-10-27,1503.079956,1504.079956,1485.719971,1487.030029,000,1487.030029
2015-10-26,1506.48999,1515.22998,1499.290039,1506.160034,000,1506.160034
2015-10-23,1490.380005,1514.849976,1486.099976,1506.589966,000,1506.589966
2015-10-22,1449.290039,1485.660034,1434.719971,1484.469971,000,1484.469971
2015-10-21,1460.310059,1463.140015,1443.160034,1452.089966,000,1452.089966
2015-10-20,1463.829956,1471.819946,1449.550049,1466.670044,000,1466.670044
2015-10-19,1452.619995,1466.73999,1452.209961,1458.00,000,1458.00
